Time (s),x,y,z,,timestamps
0.017128315,2.506729126,5.07361269,5.119102478,17.128315,17128.315
0.019128315,2.513911724,4.879383087,5.22444725,19.128315,19128.315
0.021128315,2.695871115,4.630385876,5.499780655,21.128315,21128.315
0.023128315,3.064578056,4.235342979,6.182127953,23.128315,23128.315
0.025128315,3.213018656,4.034229755,6.495768547,25.128315,25128.315
0.027128315,3.387795448,3.912125587,6.579565525,27.128315,27128.315
0.029128315,3.505111217,4.086902142,6.562806129,29.128315,29128.315
0.031123981,3.517082214,4.204218388,6.555623531,31.123981,31123.981
0.033120123,3.512293816,4.436455727,6.601113319,33.120123,33120.123
0.035116748,3.452438831,4.61362648,6.608295918,35.116748,35116.748
0.037113748,3.416525841,4.685452938,6.584353924,37.113748,37113.748
0.039113648,3.361459255,4.733336926,6.452672958,39.113648,39113.648
0.041113557,3.428496838,4.730942726,6.179733753,41.113557,41113.557
0.043113473,3.500322819,4.704606533,6.014533997,43.113473,43113.473
0.045113396,3.519476414,4.654327869,5.698499203,45.113396,45113.396
0.047113324,3.375824451,4.625597477,5.451896667,47.113324,47113.324
0.049113324,3.260902643,4.627991676,5.380070686,49.113324,49113.324
0.051113324,2.97359848,4.649539471,5.293879032,51.113324,51113.324
0.053113324,2.645592928,4.695029736,5.274725437,53.113324,53113.324
0.055113324,2.303221941,4.728548527,5.286696434,55.113324,55113.324
0.057113324,2.133233786,4.800374508,5.30106163,57.113324,57113.324
0.059113324,1.774103403,4.879383087,5.348946095,59.113324,59113.324
0.061113324,1.436521053,4.944325924,5.344157696,61.113324,61113.324
0.063113324,1.285686255,4.965873718,5.329792023,63.113324,63113.324
0.06511328,1.036689281,5.020940304,5.274725437,65.11328,65113.28
0.067113238,0.859518409,5.068824291,5.166986465,67.113238,67113.238
0.069113198,0.802057564,5.087977886,5.097554684,69.113198,69113.198
0.071112159,0.754173517,5.109525681,4.906018734,71.112159,71112.159
0.073111159,0.727837324,5.128679276,4.697423935,73.111159,73111.159
0.075110194,0.727837324,5.155015469,4.582501888,75.110194,75110.194
0.077109228,0.739808321,5.164592266,4.378994942,77.109228,77109.228
0.079109194,0.737414122,5.164592266,4.240131378,79.109194,79109.194
0.081109194,0.713472128,5.155015469,4.185064793,81.109194,81109.194
0.083109194,0.672770679,5.114314079,4.120420933,83.109194,83109.194
